Slideshow Generator,Title,Running Cost,Cost per output,
"8 base slides, all AI images (avg ~11 images/deck; image cost verified against real OpenAI billing at ~$0.0455/image)",The Rhythm of Water,0.36,0.36,
,Mastering the Central Processing Unit,0.74,0.39,
,The Heart of Computing,1.20,0.46,
,The Dance of Water (verified vs OpenAI console),1.43,0.23,
,Average,,0.36,
,,,,
"8 base slides, web/no AI images",The Marvels of the Water Cycle,1.47,0.04,
,Average,,0.04,
,,,,
,,,,
,,,,
Comprehension Generator,Running Cost,Cost per output,Running Tokens,Token usage
Photosynthesis,1.48,0.01,"777","1,221"
Linear Equations,1.49,0.01,"2,070","1,293"
Microprocessors,1.50,0.01,"3,361","1,291"
The French Revolution,1.51,0.01,"4,734","1,373"
C#,1.52,0.01,"6,117","1,383"
,Average,0.01,,"1,312"
,,,,
Lesson Planner,Running Cost,Cost per output,Running Tokens,Token usage
1,1.54,0.02,"9,415","3,298"
2,1.56,0.02,"12,532","3,117"
3,1.58,0.02,"15,829","3,297"
4,1.61,0.02,"19,073","3,244"
5,1.63,0.02,"22,376","3,303"
6,1.65,0.02,"25,756","3,380"
7,1.67,0.02,"28,949","3,193"
8,1.69,0.02,"32,327","3,378"
9,1.72,0.02,"35,757","3,430"
10,1.74,0.02,"39,152","3,395"
,Average,0.021,,"3,304"
,,,,
Worksheet Generator,Running Cost,Cost per output,Running Tokens,Token usage
1,1.75,0.01,"40,782","1,630"
2,1.76,0.01,"42,663","1,881"
3,1.77,0.01,"44,621","1,958"
4,1.79,0.01,"46,582","1,961"
,Average,0.012,,"1,858"
,,,,
Cover Lesson Generator,Running Cost,Cost per output,Running Tokens,Token usage
1,1.80,0.01,"48,293","1,711"
2,1.81,0.01,"50,095","1,802"
3,1.82,0.01,"51,824","1,729"
,Average,0.011,,"1,747"
,,,,
SMART Targets,Running Cost,Cost per output,Running Tokens,Token usage
1,1.83,0.01,"52,979","1,155"
2,1.83,0.01,"54,116","1,137"
3,1.84,0.01,"55,305","1,189"
,Average,0.006,,"1,160"
,,,,
Letter Writer,Running Cost,Cost per output,Running Tokens,Token usage
1,1.84,0,"55,889","584"
2,1.85,0,"56,457","568"
3,1.85,0,"57,034","577"
,Average,<0.01,,"576"
,,,,
One Page Support Profile,Running Cost,Cost per output,Running Tokens,Token usage
James's Support Profile,1.85,0.01,"58,432","1,398"
Emma's Support Profile,1.86,0.01,"59,812","1,380"
Noah's Support Profile,1.87,0.01,"61,133","1,321"
,Average,0.01,,"1,366"
,,,,
Medium Term Topic Planner,Running Cost,Cost per output,Running Tokens,Token usage
Photosynthesis,1.87,0.01,"62,578","1,445"
Linear Equations,1.88,0.01,"63,943","1,365"
Microprocessor,1.89,0.01,"65,346","1,403"
,Average,0.009,,"1,404"
,,,,
Exam Question Generator,Running Cost,Cost per output,Running Tokens,Token usage
History,1.90,0.01,"66,588","1,242"
Science,1.91,0.01,"67,736","1,148"
English,1.91,0.01,"69,003","1,267"
,Average,0.008,,"1,219"
,,,,
Assembly Planner,Running Cost,Cost per output,Running Tokens,Token usage
1,1.92,0.01,"70,686","1,683"
2,1.93,0.01,"72,353","1,667"
,Average,0.011,,"1,675"
,,,,
Behaviour Support Plan,Running Cost,Cost per output,Running Tokens,Token usage
1,1.95,0.01,"75,197","2,844"
2,1.97,0.02,"78,816","3,619"
3,1.99,0.02,"82,135","3,319"
,Average,0.018,,"3,261"
,,,,
CPD Slideshow,Running Cost,Cost per output,Running Tokens,Token usage
1,1.99,0.01,"83,619","1,484"
2,2.01,0.01,"85,858","2,239"
,Average,0.009,,"1,862"
,,,,
ECT Report Writer,Running Cost,Cost per output,Running Tokens,Token usage
1,2.02,0.01,"87,572","1,714"
2,2.04,0.02,"90,242","2,670"
,Average,0.015,,"2,192"
,,,,
EYFS Action Plan,Running Cost,Cost per output,Running Tokens,Token usage
1,2.06,0.02,"93,056","2,814"
2,2.07,0.02,"95,766","2,710"
,Average,0.018,,"2,762"
,,,,
